angolo,distanza,x,y
0.94,26.18,26.18,0.43
1.87,24.17,24.16,0.79
2.81,24.16,24.13,1.18
3.74,24.16,24.11,1.58
4.68,24.17,24.09,1.97
5.61,24.17,24.06,2.36
6.55,24.17,24.02,2.76
7.48,24.16,23.95,3.14
8.42,26.76,26.47,3.92
9.35,23.02,22.71,3.74
10.29,23.89,23.50,4.26
11.22,26.45,25.95,5.15
12.16,27.32,26.71,5.75
13.09,28.19,27.45,6.38
14.03,28.19,27.35,6.83
14.96,28.19,27.23,7.28
15.90,24.45,23.51,6.70
16.83,28.19,26.98,8.16
17.77,24.46,23.30,7.46
18.70,25.89,24.52,8.30
19.64,24.75,23.31,8.32
20.57,26.47,24.78,9.30
21.51,87.14,81.07,31.95
22.44,88.13,81.45,33.64
23.38,87.77,80.57,34.83
24.31,88.21,80.39,36.32
25.25,88.13,79.71,37.59
26.18,79.61,71.44,35.13
27.12,79.53,70.78,36.25
28.05,75.36,66.51,35.44
28.99,62.56,54.72,30.32
29.92,61.01,52.88,30.43
30.86,61.01,52.38,31.29
31.79,61.17,51.99,32.22
32.73,60.60,50.98,32.77
33.66,61.17,50.91,33.90
34.60,58.67,48.29,33.31
35.53,58.92,47.95,34.24
36.47,58.94,47.40,35.03
37.40,58.24,46.27,35.38
38.34,56.85,44.59,35.26
39.27,57.12,44.22,36.16
40.21,56.54,43.18,36.50
41.14,56.56,42.59,37.21
42.08,56.58,41.99,37.91
43.01,56.41,41.24,38.48
43.95,56.56,40.72,39.25
44.88,54.28,38.46,38.30
45.82,56.00,39.03,40.16
46.75,55.98,38.35,40.78
47.69,55.85,37.59,41.30
48.62,55.73,36.84,41.82
49.56,55.73,36.15,42.41
50.49,55.73,35.45,43.00
51.43,55.73,34.74,43.57
52.36,55.73,34.03,44.13
53.30,55.71,33.29,44.67
54.23,55.56,32.47,45.08
55.17,55.59,31.75,45.63
56.10,55.59,31.00,46.14
57.04,55.57,30.24,46.63
57.97,55.59,29.48,47.13
58.91,55.59,28.71,47.60
59.84,55.86,28.06,48.30
60.78,55.86,27.27,48.75
61.71,55.42,26.26,48.80
62.65,55.73,25.60,49.50
63.58,55.74,24.80,49.92
64.52,55.73,23.97,50.31
65.45,55.25,22.95,50.26
66.39,55.25,22.13,50.63
67.32,55.59,21.43,51.29
68.26,55.59,20.59,51.64
69.19,55.08,19.56,51.49
70.13,55.10,18.73,51.82
71.06,55.08,17.87,52.10
72.00,55.08,17.02,52.38
72.94,55.42,16.26,52.98
73.87,54.91,15.25,52.75
74.81,54.91,14.39,52.99
75.74,54.91,13.53,53.22
76.68,54.93,12.66,53.45
77.61,54.91,11.78,53.63
78.55,54.91,10.90,53.82
79.48,54.91,10.02,53.99
80.42,54.93,9.15,54.16
81.35,54.93,8.26,54.30
82.29,54.93,7.37,54.43
83.22,54.93,6.48,54.54
84.16,54.91,5.59,54.62
85.09,54.91,4.70,54.71
86.03,54.93,3.81,54.79
86.96,54.91,2.91,54.83
87.90,54.93,2.02,54.89
88.83,54.91,1.12,54.90
89.77,55.42,0.23,55.42
90.70,55.44,-0.68,55.43
91.64,55.08,-1.57,55.06
92.57,55.08,-2.47,55.02
